date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:14	18544/18544	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%2263c86491-4870%22	https://conference.awwwards.com/assets/fonts/NeueBit-Bold.woff2	conference.awwwards.com/assets/fonts/NeueBit-Bold.woff2	(from https://conference.awwwards.com/assets/styles/main.css?v=202209141329)
14:02:14	26620/26620	---M--	200	added ('OK')	application/font-woff	etag:%2263c86491-67fc%22	https://conference.awwwards.com/assets/fonts/NeueBit-Bold.woff	conference.awwwards.com/assets/fonts/NeueBit-Bold.woff	(from https://conference.awwwards.com/assets/styles/main.css?v=202209141329)
14:02:16	34988/34988	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%2263c86491-88ac%22	https://conference.awwwards.com/assets/fonts/coign-37-bold-pro.woff2	conference.awwwards.com/assets/fonts/coign-37-bold-pro.woff2	(from https://conference.awwwards.com/assets/styles/main.css?v=202209141329)
14:02:16	47936/47936	---M--	200	added ('OK')	application/font-woff	etag:%2263c86491-bb40%22	https://conference.awwwards.com/assets/fonts/coign-37-bold-pro.woff	conference.awwwards.com/assets/fonts/coign-37-bold-pro.woff	(from https://conference.awwwards.com/assets/styles/main.css?v=202209141329)
14:02:17	60486/60486	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Feb%202023%2013:39:49%20GMT	https://conference.awwwards.com/assets/styles/preloader.gif	conference.awwwards.com/assets/styles/preloader.gif	(from https://conference.awwwards.com/assets/styles/main.css?v=202209141329)
14:02:19	77607/77607	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:50%20GMT	https://conference.awwwards.com/talks/get-smooth-or-die-tryin	conference.awwwards.com/talks/get-smooth-or-die-tryin.html	(from https://conference.awwwards.com/speakers)
14:02:20	77619/77619	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:51%20GMT	https://conference.awwwards.com/talks/tbc-7	conference.awwwards.com/talks/tbc-7.html	(from https://conference.awwwards.com/speakers)
14:02:21	78593/78593	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:52%20GMT	https://conference.awwwards.com/talks/this-could-ve-been-an-email	conference.awwwards.com/talks/this-could-ve-been-an-email.html	(from https://conference.awwwards.com/speakers)
14:02:22	78402/78402	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:53%20GMT	https://conference.awwwards.com/talks/a-tale-of-photogrammetry-backflips-and-identity	conference.awwwards.com/talks/a-tale-of-photogrammetry-backflips-and-identity.html	(from https://conference.awwwards.com/speakers)
14:02:23	78189/78189	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:54%20GMT	https://conference.awwwards.com/talks/tbc-4	conference.awwwards.com/talks/tbc-4.html	(from https://conference.awwwards.com/speakers)
